Campaign,Campaign Type,Campaign Daily Budget,Networks,Bid Strategy Type,Target CPA,Ad Group,Max CPC,Keyword,Match Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
Inmate - Lower - v1,Search,100.00,Google search,Target CPA,10.00,,,,,,,,,,,,,,,,,,,,,,,Paused
Inmate - Lower - v1,,,,,,Inmate,,,,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,inmate search,Phrase,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,inmate search,Broad,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,inmate search,Exact,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,find an inmate,Exact,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,find an inmate,Broad,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,inmate locator,Exact,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,inmate lookup,Exact,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,find inmate,Exact,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,inmate finder,Broad,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,convict search,Broad,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,federal inmate search,Broad,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,federal inmate search,Exact,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,inmates,Exact,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,texas inmate search,Phrase,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,arizona inmate search,Phrase,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,nevada inmate search,Phrase,,,,,,,,,,,,,,,,,,,Enabled
Inmate - Lower - v1,,,,,,Inmate,,tennessee inmate search,Phrase,,,,,,,,,,,,,,,,,,,Enabled
